RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394404,10,"Boston, MA",Msa,MA,541267,543267,563300,583000,597667,595967,579600,556567,539600,535967,535967,531300,528267,533300,549967,571633,589633,596300,594633,586633,579967,576333,576333,576300,574967,582967,597667,605967,614600,623267,639933,648267,649900,656567,662300,664000,663700,671300,682933,691600,694933,697633
395057,11,"San Francisco, CA",Msa,CA,807667,824333,857667,899667,924667,937963,921296,880629,850667,842329,837996,819996,799333,802667,830963,867963,901296,907983,904943,886277,885960,889000,895667,879000,862633,874633,899967,916333,924667,948833,982167,998167,998667,998667,998840,995440,990773,987600,987333,991667,993667,996000
394532,12,"Detroit, MI",Msa,MI,220100,218267,224933,238800,253800,263500,264633,259600,251600,244633,237967,231267,226600,226600,233300,246600,259933,269900,271267,267633,258667,248967,239300,231633,225667,223967,227600,233567,244934,260967,277634,286300,283300,278167,271500,264833,259967,261600,271567,284600,294559,299259
395025,13,"Riverside, CA",Msa,CA,391167,394117,397450,402950,406663,410163,410130,406800,403300,399966,399633,398633,398333,398633,402967,408300,415000,419967,423300,423300,420000,416667,415000,414817,414817,418150,423000,426333,428000,434667,446333,461333,471667,480000,485000,490000,491666,493333,494996,506663,520086,533423
394976,14,"Phoenix, AZ",Msa,AZ,332633,338632,346915,352215,354883,353267,349967,344965,341631,339631,339300,339300,341267,344067,347433,352100,356267,359600,359963,360997,362663,364333,366663,369963,375963,382600,388967,384600,379633,378300,388300,396633,399967,399967,399633,399600,402300,405883,414250,424217,437633,449267
395078,15,"Seattle, WA",Msa,WA,508140,524973,554657,579333,595983,598310,590627,578960,566633,562983,558000,557167,560500,577150,601633,626633,641633,643316,634983,624650,616467,614783,616633,621483,631483,648283,664617,664300,661000,661000,669667,672967,664967,653300,639983,634983,638317,653333,670000,686665,699998,708328
394865,16,"Minneapolis-St Paul, MN",Msa,MN,356314,373681,389282,394885,393145,384887,376186,368913,361604,357776,352868,352834,358367,370548,386210,394911,396685,389760,384052,375351,370096,363623,363240,363275,370270,381059,391465,394945,394632,394632,396337,394911,387985,380711,373750,373750,374471,380921,388630,392967,392967,389633
395056,17,"San Diego, CA",Msa,CA,704633,721300,735967,749333,749333,749333,742333,725967,706267,689933,681633,676667,675900,680900,692566,713000,732667,745667,746000,746000,746000,745600,742267,742267,744333,754333,768000,769633,768300,778300,811633,833300,831633,818333,808000,808000,813000,833000,844667,859000,855967,855633
395121,18,"St. Louis, MO",Msa,MO,190767,191267,196267,204633,212967,218267,219600,219300,219000,217667,214667,209967,206300,207933,216267,227933,237967,243000,244000,242300,240600,238233,234900,230233,229074,232407,238607,243800,250167,256000,260333,259997,258630,257130,254433,251133,249567,255900,264900,276267,278300,276600
395148,19,"Tampa, FL",Msa,FL,260895,260895,262538,265828,270694,273917,273885,271145,267923,264733,262606,260350,259705,259705,262928,268406,276173,281326,282905,281612,280294,279972,278364,276463,273833,273801,274764,274526,276137,280007,286453,292898,297087,301921,301953,300986,299443,299510,303847,313847,330380,346133
394358,20,"Baltimore, MD",Msa,MD,303233,299900,304933,313300,326633,337967,345967,345967,341600,335266,328633,320000,313333,311667,316667,327663,339330,347663,350358,350325,346958,341600,334633,327967,322933,323233,329933,339443,347810,356143,363300,364967,361633,355000,348300,340292,332459,332459,338800,346633,355000,358333
394530,21,"Denver, CO",Msa,CO,,,,,,,,,494667,487667,481000,477833,481500,492833,508000,519667,523667,522000,517000,509967,502967,497967,497967,500527,511193,527860,542300,545250,541950,541950,548333,551667,545333,533667,523667,525000,531708,545008,558341,576633,593333,608333
394982,22,"Pittsburgh, PA",Msa,PA,171600,169933,173233,177267,182950,184650,183950,181600,179900,178267,175933,172630,170930,170930,175600,182267,189933,195233,198567,199600,198933,195600,190933,184966,183300,185800,192433,197433,204900,214900,227567,234233,234267,233267,231600,229933,227967,228000,232333,239300,245933,246267
394998,23,"Portland, OR",Msa,OR,463391,469850,476309,482736,484351,484350,481121,474630,466556,460097,456868,455253,456872,460101,466560,471433,474691,474719,472782,469524,464683,460162,456952,456952,460181,468260,474655,474009,472369,474016,482090,485351,488581,494039,503695,513383,520485,524357,533300,549967,571633,586667
394458,24,"Charlotte, NC",Msa,NC,337967,338000,343000,349667,356300,358835,355818,349848,342980,336330,331000,326967,325300,328300,335000,343333,351633,356300,356300,352333,346967,344300,341633,342166,343000,346333,351167,352967,357633,362967,374167,379701,382199,379336,377468,374970,375000,377633,384300,395967,408330,414997
395045,25,"Sacramento, CA",Msa,CA,462650,468330,476663,484830,490833,491092,486592,479926,472833,466167,459467,456300,458300,466333,481000,492663,504630,513280,521583,522950,517933,509633,503296,504996,511330,521000,527633,527967,527633,529000,538726,547726,559693,568300,579633,586650,594950,598283,594633,603000,611667,625000
395055,26,"San Antonio, TX",Msa,TX,279967,280000,283000,288667,295133,298466,297799,293300,288267,283267,281373,280707,280706,280600,281633,284967,289997,293078,293045,289715,286600,283297,281297,278997,278500,278833,282500,286167,290300,293933,297433,299933,299467,297767,294133,290133,287553,288220,292387,298333,303286,311920
394943,27,"Orlando, FL",Msa,FL,299900,302933,309467,317833,323167,325000,324975,323275,319942,314933,308300,303267,299933,299933,303300,310000,318333,323333,325000,325000,325300,325300,325300,324997,324930,326563,328233,325267,321963,320297,324997,328333,330663,332143,332143,331446,328300,327297,328997,335663,344333,356267
394466,28,"Cincinnati, OH",Msa,OH,218300,219967,231600,248267,261600,267117,265450,258783,251633,244967,241333,236300,232967,236633,249967,266500,279800,286167,287967,284333,278667,272000,265633,261300,261267,269600,283233,294933,308300,321500,333167,334367,327533,319833,310300,306600,305967,314300,324967,339406,353236,356603
